date,ticker,price
2024-01-01,AAPL,151.62307360179227
2024-01-02,AAPL,150.8065297688375
2024-01-03,AAPL,151.78248367777888
2024-01-04,AAPL,151.7603154784667
2024-01-05,AAPL,150.7932265928738
2024-01-06,AAPL,149.83113556161652
2024-01-07,AAPL,149.94777857749983
2024-01-08,AAPL,150.18855283195086
2024-01-09,AAPL,150.89208991365155
2024-01-10,AAPL,150.46486669984068
2024-01-11,AAPL,149.36686539833022
2024-01-12,AAPL,148.34663331858624
2024-01-13,AAPL,148.22734453553193
2024-01-14,AAPL,148.99724145266498
2024-01-15,AAPL,149.08185241919512
2024-01-16,AAPL,149.27418986741964
2024-01-17,AAPL,149.82881092469427
2024-01-18,AAPL,150.47342669084415
2024-01-19,AAPL,151.16216202609766
2024-01-20,AAPL,151.91021403935736
