date,ticker,price
2024-01-01,AAPL,150.7667337294506
2024-01-02,AAPL,152.10403137869068
2024-01-03,AAPL,151.2092172206236
2024-01-04,AAPL,151.02251454769075
2024-01-05,AAPL,150.9654094608863
2024-01-06,AAPL,150.95440096778037
2024-01-07,AAPL,150.81895097770433
2024-01-08,AAPL,150.23733045113937
2024-01-09,AAPL,148.5627153568502
2024-01-10,AAPL,148.42222249740843
2024-01-11,AAPL,146.41909402568152
2024-01-12,AAPL,146.73043520262982
2024-01-13,AAPL,147.1462260897708
2024-01-14,AAPL,146.66823133106084
2024-01-15,AAPL,146.09130117485364
2024-01-16,AAPL,143.76152215938208
2024-01-17,AAPL,142.56607483773396
2024-01-18,AAPL,141.52501570341423
2024-01-19,AAPL,141.75740608023344
2024-01-20,AAPL,141.64949421056454
